date,AAPL,XOM,JPM,WMT,PFE,AMZN,BAC,T
2025-06-23,200.530823,107.591507,271.737305,96.826706,22.074272,208.470001,45.082912,26.663687
2025-06-24,199.336594,104.317734,274.657104,96.955330,22.331484,212.770004,45.433445,26.739328
2025-06-25,200.590515,104.346634,277.391357,96.223206,22.285553,211.990005,45.618450,26.398937
2025-06-26,200.033218,105.906479,281.971252,94.996422,22.267179,217.119995,46.212418,26.474581
2025-06-27,200.112823,105.319130,280.369720,96.233093,22.221252,223.300003,45.881355,26.550220
2025-06-30,204.183167,103.797798,283.104034,96.737663,22.267179,219.389999,46.076099,27.363371
2025-07-01,206.820435,105.184319,283.592285,97.192757,23.002073,220.460007,46.884281,27.306637
2025-07-02,211.418213,106.927132,285.144958,96.569481,23.259285,219.919998,47.429558,26.767691
2025-07-03,212.522858,108.034431,290.443573,97.311485,23.314400,223.410004,47.643780,26.814968
2025-07-07,208.940170,106.984894,286.489258,98.290924,23.185795,223.470001,47.380875,26.862242
2025-07-08,208.999893,109.950554,277.471771,96.055016,23.534868,219.360001,45.910568,26.748781
2025-07-09,210.124451,109.575027,277.844635,95.778000,23.479752,222.539993,45.608715,26.569130
2025-07-10,211.388351,110.663078,282.780212,93.848793,23.681845,222.259995,45.735302,26.376230
2025-07-11,210.144348,111.144516,281.475128,93.393700,23.562424,225.020004,45.501602,25.755497
2025-07-14,207.616577,109.690575,283.280640,94.758980,23.286842,225.690002,45.832668,25.936941
2025-07-15,208.104218,108.718079,281.170990,94.373146,22.607071,226.350006,44.936852,25.803247
2025-07-16,209.149185,108.063324,280.454712,94.135689,22.607071,223.190002,44.820007,25.736399
2025-07-17,209.009842,107.514496,284.458099,94.076340,22.579510,223.880005,45.783981,25.774597
2025-07-18,210.164246,103.768898,285.802368,94.036766,22.478462,226.130005,46.076099,25.726851
2025-07-21,211.458008,104.038513,285.507996,94.650154,22.285553,229.300003,46.231888,26.147034
2025-07-22,213.368759,104.510323,285.959381,94.828239,23.093935,227.470001,46.514271,26.185232
2025-07-23,213.119965,105.848717,291.189362,94.660057,23.296028,228.289993,46.874542,26.500374
2025-07-24,212.731842,106.676781,290.983246,95.570236,23.286842,232.229996,47.117970,26.662718
2025-07-25,212.851288,106.301262,293.014404,96.430962,23.165363,231.440002,47.176392,26.739117
2025-07-28,213.020447,107.302650,292.680786,96.569481,22.716818,232.789993,46.962177,26.357128
2025-07-29,210.253830,108.689186,291.464081,97.281807,22.707474,231.009995,46.689541,26.175684
2025-07-30,208.044495,107.745583,294.005463,96.549690,22.249588,230.190002,46.699268,26.261633
2025-07-31,206.571625,107.495224,290.679077,96.935539,21.763666,234.110001,46.027409,26.175684
2025-08-01,201.406601,105.569481,283.938080,97.440094,21.950560,214.750000,44.459732,26.500374
2025-08-04,202.371918,103.383751,288.736267,98.528374,21.987936,211.649994,44.644737,26.433525
2025-08-05,201.944016,103.258591,285.900513,98.251350,23.127983,213.750000,44.362366,26.519474
2025-08-06,212.224289,102.555687,285.880890,102.258194,22.361721,222.309998,44.226044,26.252083
2025-08-07,218.971695,102.016472,281.553711,102.020744,22.642059,223.130005,43.739185,26.796413
2025-08-08,228.246872,102.834930,283.339478,102.624245,22.969124,222.690002,44.800529,26.815514
2025-08-11,226.343887,101.900940,284.124481,102.822113,22.969124,221.300003,44.946594,26.872812
2025-08-12,228.804794,102.189796,287.352722,102.515411,23.034536,221.470001,46.251366,27.197500
2025-08-13,232.471237,103.605209,285.076294,99.913437,23.511112,224.559998,45.998203,27.121103
2025-08-14,231.923279,103.393387,288.638123,99.774940,23.464390,230.979996,46.455845,27.455343
2025-08-15,230.737656,103.490562,285.037018,99.165077,23.492424,231.029999,45.706085,27.569939
2025-08-18,230.040237,103.714088,286.057495,99.859222,23.427010,231.490005,46.660320,27.617687
2025-08-19,229.711456,104.394363,285.203857,100.444313,23.660627,228.009995,46.816120,27.674986
2025-08-20,225.178192,105.473106,286.754150,101.713615,23.716692,223.809998,47.079021,27.961475
2025-08-21,224.072281,106.153404,285.998657,97.142105,24.053102,221.949997,46.991390,28.114271
2025-08-22,226.921753,108.145645,290.679077,96.021545,24.183926,228.839996,48.179317,27.474443
2025-08-25,226.323975,108.592690,289.364227,95.267891,23.492424,227.940002,48.179317,27.445791
2025-08-26,228.466034,108.349739,292.965393,95.248055,23.286842,228.710007,48.929073,27.273899
2025-08-27,229.641708,109.574249,293.662018,95.277802,23.427010,229.119995,49.055660,27.751383
2025-08-28,231.704086,110.157349,295.418427,95.307556,22.987814,231.600006,49.162769,27.636787
2025-08-29,231.285629,111.070877,295.761841,96.170296,23.137327,229.000000,49.406200,27.971029
2025-09-02,228.874542,111.459602,294.074158,97.033020,23.342909,225.339996,49.094608,27.770483
2025-09-03,237.592346,108.757904,293.887726,98.609749,23.165363,225.990005,48.744072,27.732286
2025-09-04,238.897507,109.234108,298.116821,100.087303,22.931746,235.679993,49.289349,28.247969
2025-09-05,238.807846,106.153404,288.854004,99.670815,23.249464,232.330002,48.731247,28.257517
2025-09-08,237.004517,106.755928,287.411621,101.426041,22.941090,235.839996,48.427715,27.598589
2025-09-09,233.487518,107.533394,292.258850,101.435959,23.090605,238.240005,49.240395,28.095171
2025-09-10,225.955338,109.331284,294.898407,99.571655,22.959780,230.330002,49.083736,27.885078
2025-09-11,229.183411,108.981430,299.824127,101.792953,23.230774,229.949997,49.690792,28.162020
2025-09-12,233.208542,109.000862,301.148804,102.625931,22.305656,228.149994,49.524342,28.238417
2025-09-15,235.828857,109.185516,303.101440,102.824265,22.399101,231.429993,49.534134,28.286167
2025-09-16,237.273499,111.449883,303.386017,102.556519,22.333689,234.050003,49.602676,28.009226
2025-09-17,238.110443,112.042709,305.897949,103.399422,22.473860,231.619995,50.327229,28.209770
2025-09-18,237.004517,110.721008,307.350159,102.735016,22.567303,231.229996,51.041996,27.885078
2025-09-19,244.596451,109.642281,308.871033,101.475616,22.455170,231.479996,51.159489,27.703634
2025-09-22,255.137512,108.864799,306.574982,101.961533,22.464516,227.630005,50.836372,27.617687
2025-09-23,253.493607,110.740448,306.869354,101.664024,22.548616,220.710007,50.620972,27.493544
